collection_date,Year,Month,woy,collection_id,site_code,calculated_county,calculated_city,longitude,latitude,trap_type,num_trap,trap_nights,trap_problem,species,females_mixed,coordinate_precision
2019-04-12,2019,4,15,1549957,1933,Fresno,Fresno,-119.68028,36.746398,BGSENT,1,1,N,Aedes aegypti,2,Exact
2019-04-12,2019,4,15,1549967,1933,Fresno,Fresno,-119.68028,36.746398,BGSENT,1,1,N,Aedes aegypti,1,Exact
2019-04-17,2019,4,16,1573681,1267,Fresno,Clovis,-119.658939,36.809558,BGSENT,1,1,N,Aedes aegypti,1,Exact
2019-04-17,2019,4,16,1573694,3076,Fresno,Orange Cove,-119.320972,36.628806,BGSENT,1,1,N,Aedes aegypti,1,Exact
2019-04-18,2019,4,16,1573655,2491,Fresno,Centerville,-119.508303,36.727057,BGSENT,1,1,N,Aedes aegypti,3,Exact
2019-04-18,2019,4,16,1573671,1000,Fresno,Fresno,-119.665205,36.758077,BGSENT,1,1,N,Aedes aegypti,1,Exact
2019-04-18,2019,4,16,1573674,1000,Fresno,Fresno,-119.665205,36.758077,BGSENT,1,1,N,Aedes aegypti,4,Exact
2019-04-19,2019,4,16,1573593,6072,Fresno,Caruthers,-119.833169,36.538003,BGSENT,1,1,N,Aedes aegypti,1,Exact
2019-04-23,2019,4,17,1578943,1669,Fresno,Clovis,-119.706539,36.817974,BGSENT,1,1,N,Aedes aegypti,2,Exact
2019-04-24,2019,4,17,1578788,2495,Fresno,Fresno,-119.69095,36.871331,BGSENT,1,1,N,Aedes aegypti,1,Exact
2019-04-30,2019,4,18,1578754,2491,Fresno,Centerville,-119.508303,36.727057,BGSENT,1,1,N,Aedes aegypti,4,Exact
2019-04-30,2019,4,18,1578766,2492,Fresno,Centerville,-119.511408,36.727238,BGSENT,1,1,N,Aedes aegypti,1,Exact
2019-05-03,2019,5,18,1579915,2282,Fresno,Sanger,-119.567876,36.717079,BGSENT,1,1,N,Aedes aegypti,1,Exact
2019-05-08,2019,5,19,1582868,5159,Fresno,Kingsburg,-119.542684,36.530256,BGSENT,1,1,N,Aedes aegypti,1,Approximate
2019-05-10,2019,5,19,1582992,2467,Fresno,Sanger,-119.577497,36.716541,BGSENT,1,1,N,Aedes aegypti,6,Approximate
2019-05-10,2019,5,19,1582996,2467,Fresno,Sanger,-119.577497,36.716541,BGSENT,1,1,N,Aedes aegypti,1,Approximate
2019-05-15,2019,5,20,1585638,3094,Fresno,Reedley,-119.466,36.595,CO2,1,1,N,Aedes aegypti,4,Approximate
2019-05-15,2019,5,20,1585639,3094,Fresno,Reedley,-119.466,36.595,BGSENT,1,1,N,Aedes aegypti,3,Approximate
