"","Longitude","Latitude","Month","pr_ab","x","y","species"
"1",-118.049937,34.061863,8,1,180002.351078089,-437453.443390862,"aedes"
"2",-118.028951,34.050488,8,1,181965.445580453,-438674.950097533,"aedes"
"3",-120.103088,36.958803,8,1,-9166.43169664309,-117556.697302584,"aedes"
"4",-120.095866,36.942854,8,1,-8526.06084503756,-119330.160607264,"aedes"
"5",-120.069194,36.95727,8,1,-6152.7410981759,-117729.841247262,"aedes"
"6",-119.618961,36.576163,8,1,34052.3984916616,-160022.167379608,"aedes"
"7",-120.095758,36.955336,8,1,-8515.04761746363,-117942.752294272,"aedes"
"8",-118.032061,34.062399,8,1,181650.946461062,-437359.92454167,"aedes"
"9",-118.012885,34.106233,8,1,183318.812677696,-432461.500182091,"aedes"
"10",-118.054518,34.07506,8,1,179549.515216993,-435998.490344424,"aedes"
"11",-118.038328,34.061538,8,1,181074.52719147,-437467.395098312,"aedes"
"12",-118.025866,34.120492,8,1,182088.499898792,-430905.018276769,"aedes"
"13",-118.023232,34.0552609999999,8,1,182482.303853753,-438134.619469509,"aedes"
"14",-120.0654,36.96301,8,1,-5814.9326037944,-117092.057183593,"aedes"
"15",-120.061829,36.953656,8,1,-5498.1044663777,-118132.005622409,"aedes"
"16",-120.045175,36.928941,8,1,-4018.47332495311,-120880.006556442,"aedes"
"17",-118.034705,34.06099,8,1,181410.165941015,-437521.249575987,"aedes"
"18",-120.052908,36.938103,8,1,-4705.77954380527,-119861.261187466,"aedes"
"19",-120.100842,36.969501,8,1,-8965.44955363895,-116367.787738511,"aedes"
"20",-120.07807,36.964397,8,1,-6941.34457556054,-116937.031942843,"aedes"
"21",-119.68028,36.746398,8,1,28508.7175943913,-141122.257349406,"aedes"
"22",-119.65386,36.802727,8,1,30841.6716194894,-134853.247728056,"aedes"
"23",-118.838875,35.211764,8,1,105620.470423766,-311027.486700104,"aedes"
"24",-117.970977,34.131999,8,1,187123.206157954,-429521.908785634,"aedes"
"25",-120.083445,36.94975,8,1,-7420.68932929169,-118564.694300361,"aedes"
"26",-119.8532,36.8335,8,1,13074.8597146015,-131479.179005584,"aedes"
"27",-119.826422,36.808364,8,1,15464.9745301364,-134268.954663835,"aedes"
"28",-119.760145,36.845107,8,1,21359.6347537831,-130172.094166181,"aedes"
"29",-119.667122,36.795372,8,1,29662.8808384798,-135674.966585829,"aedes"
"30",-119.664824,36.811551,8,1,29861.3020354312,-133875.998892697,"aedes"
"31",-120.110646,36.959004,8,1,-9838.45411894307,-117533.596407191,"aedes"
"32",-119.77878,36.857131,8,1,19697.0313176374,-128839.687299626,"aedes"
"33",-119.764167,36.848056,8,1,21000.6521806255,-129845.218022446,"aedes"
"34",-117.1292367,32.69312,8,1,269559.56900988,-586932.159258657,"aedes"
"35",-117.0528226,32.5445823,8,1,277243.664870021,-603150.884915867,"aedes"
"36",-120.088445,36.970442,8,1,-7863.1797074961,-116264.293511875,"aedes"
"37",-120.061083,36.976385,8,1,-5430.12531248965,-115605.624085661,"aedes"
"38",-120.032623,36.954244,8,1,-2900.94062602371,-118067.947314324,"aedes"
"39",-119.674883,36.812642,8,1,28964.7221201141,-133757.86018644,"aedes"
"40",-119.657327,36.809937,8,1,30529.8635276699,-134053.000988215,"aedes"
"41",-119.648698,36.810462,8,1,31298.4278237667,-133991.833176004,"aedes"
"42",-119.590159,36.8061840000001,8,1,36515.8330538453,-134446.370711954,"aedes"
"43",-117.04828,32.5542907,8,1,277637.392674771,-602063.257646571,"aedes"
"44",-120.054736,36.922555,8,1,-4869.37469264576,-121589.37823847,"aedes"
"45",-120.050156,36.926714,8,1,-4461.68474644061,-121127.319993523,"aedes"
