Longitude,Latitude,Month,pr_ab,x,y
-122.197126,37.435587999999974,4,1,-194120.08211244052,-62313.4150362527
-118.023232,34.055260999999945,4,1,182482.30385375337,-438134.6194695085
-119.66084999999998,36.818590000000015,4,1,30212.551953156824,-133092.37305288436
-118.03832800000002,34.06153800000001,4,1,181074.52719147038,-437467.3950983123
-120.07103500000001,36.96566500000003,4,1,-6315.740066863161,-116796.58144871192
-119.67425,36.81994399999998,4,1,29018.329218583644,-132946.06817329535
-118.01783,34.04885899999997,4,1,182995.75883272622,-438834.22097429587
-119.669598,36.80918200000002,4,1,29436.899564896266,-134140.80053793918
-118.02585600000002,34.05372100000001,4,1,182243.66487076017,-438310.4561823192
-120.088479,36.95847699999998,4,1,-7867.450184741163,-117594.24868670898
-120.081496,36.962758999999984,4,1,-7246.1155917547085,-117118.84539356874
-120.06182899999999,36.95365599999998,4,1,-5498.104466377699,-118132.00562241301
-119.668311,36.80532399999999,4,1,29553.062152623166,-134569.20519999228
-119.66825299999999,36.82740700000001,4,1,29549.647236192017,-132114.71959096426
-119.73366800000001,36.87262700000002,4,1,23708.877017388928,-127106.96499778656
-119.679361,36.82566800000002,4,1,28560.886246418642,-132311.41226291005
-119.651432,36.79577000000003,4,1,31060.85016244082,-135625.70214765845
-117.04896200000002,34.04876200000003,4,1,272418.5958817947,-436518.0236607292
-117.02621759999998,32.74451250000001,4,1,279051.281916535,-580945.509968352
-119.769278,36.790828000000005,4,1,20560.98358518683,-136207.11640284816
-119.65893900000002,36.809558000000024,4,1,30386.397604893362,-134095.6439710399
-118.051194,34.14390500000001,4,1,179699.25739323205,-428356.49174724193
-117.980294,34.15984500000003,4,1,186198.27913182028,-426451.73428236274
-118.039282,34.065880999999976,4,1,180976.51563472822,-436987.55191814667
-117.09139329999999,32.760257999999986,4,1,272883.8158569957,-579392.3175077485
-116.91689129999999,32.858317899999975,4,1,288896.7749703874,-568020.0129234772
-120.071624,37.00084999999998,4,1,-6365.134210128564,-112885.5646261163
-120.039255,36.94888399999997,4,1,-3490.936163130403,-118663.50755842263
-119.67427599999999,36.84896400000001,4,1,29004.93935850052,-129720.56010569073
-119.66515400000002,36.80712900000002,4,1,29833.636764256007,-134367.5953940074
-117.903915,33.775496999999994,4,1,194181.04957258704,-468919.58431807486
-117.13042280000002,32.70868420000004,4,1,269396.06646527466,-585212.7675960278
-117.1297708,32.72998310000006,4,1,269385.85594239575,-582853.328700169
-117.1148484,32.71523949999995,4,1,270835.654885923,-584442.7910757344
-117.10782269999999,32.6917946,4,1,271574.1646298995,-587017.7449955521
-118.08234299999998,34.09906099999996,4,1,176928.02773219612,-433388.8396784486
-117.9925,33.85916699999999,4,1,185779.3692410084,-459820.29919390986
-117.966206,34.088768000000016,4,1,187666.02466886753,-434307.2160291411
-117.92691400000001,34.02086600000003,4,1,191455.78280751198,-441759.1532031838
-117.914209,33.83899300000002,4,1,193072.67664723264,-461900.7280029431
-116.97558360000001,32.87184150000002,4,1,283351.22255055286,-566699.9996889052
-119.73504600000001,36.72524900000002,4,1,23631.944448703263,-143487.91920064436
-119.723539,36.74286100000003,4,1,24652.57429153872,-141527.51290709618
-118.061795,34.09771200000002,4,1,178826.6386988226,-433499.9281358067
-118.00326100000001,34.09240799999997,4,1,184238.8359733016,-433976.1772018722
-117.96545600000002,34.01913099999998,4,1,187901.0078940601,-442028.6679204395
-117.854034,34.025476,4,1,198173.73970907053,-441098.1681903247
-117.84444399999998,33.788332999999966,4,1,199657.13119482098,-467372.9792777258
-117.1404153,32.70756950000005,4,1,268461.97622032056,-585364.4992705234
-117.01361019999999,32.67572060000002,4,1,280473.8740834795,-588522.5403025383
-115.693185,32.79413600000002,4,1,403816.83902290155,-570652.8185558305
-115.56305100000002,32.79199999999999,4,1,416020.7094332098,-570326.4120746395
-115.542747,32.78651099999994,4,1,417951.6305801668,-570844.3542937208
-115.51881600000002,33.12711999999999,4,1,418411.0828410827,-533048.4615133768
-119.805802,36.764522000000014,4,1,17312.087862622804,-139138.28051090566
-119.713639,36.834853,4,1,25504.515554343245,-131300.29963603243
-119.56891700000001,36.713055999999995,4,1,38455.48066536412,-144788.67452203063
-117.933056,33.915278000000036,4,1,191143.94852185945,-453480.3973647924
